,target,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,learning_rate,RMSE,R2
231,K,500,,18,20,10,0.11393682245723326,21.323406384139613,0.7021072148958252
232,K,392,,20,4,10,0.15010763712199957,21.313249511914684,0.6660667787233376
233,K,500,20.0,2,1,sqrt,0.01,21.56906435882893,0.6905872959122772
234,K,324,,20,11,10,0.2162602726881377,21.927763924109534,0.674574688365115
235,K,500,,2,12,10,0.4358879386139913,23.550052157161602,0.6061718860189197
236,K,426,20.0,20,13,,0.06868027154745987,20.83766830330756,0.7099267286998711
237,K,177,,20,20,1,0.18629250102298123,24.48633251705136,0.5904715622043042
238,K,500,20.0,2,10,,0.17855502672349283,21.895095107339657,0.6748585964801548
239,K,500,5.0,16,17,10,0.06280486937006903,20.934121178821485,0.7191089294637643
240,K,366,10.0,3,3,10,0.10555780352416261,20.185822280681474,0.7086306176791441
241,K,382,20.0,2,20,10,0.10362636178586704,21.082620761744657,0.7091843785148659
242,K,319,,3,1,10,0.11867778636706774,22.041151458872836,0.6721116537420107
243,K,432,20.0,2,1,,0.0937098749749444,25.85088700336155,0.5372107980054149
244,K,366,10.0,19,14,10,0.09821428030073184,20.700124547701748,0.7041242427870408
245,K,443,5.0,12,20,5,0.03911170179015274,21.557957017975333,0.6891424436633737
246,K,363,15.0,8,18,10,0.11201818332363234,20.86370806150208,0.7060511294136309
247,K,157,10.0,2,10,10,0.2665011869235259,20.993473931674828,0.6643622072211675
248,K,485,,20,16,10,0.01,22.250772685734,0.6806219426070081
249,K,179,,19,20,log2,0.27630185333681845,21.698649100456336,0.6762266077628296
